id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Mateo;Trujillo;Gabriela_Santacruz33@hotmail.com;Manzana virtual Congolese;2022-09-19T01:53:05;5568;71669
2;Teodoro;Partida;Adela42@hotmail.com;ADP Murcia Global;2022-09-18T20:37:02;59969;53558
3;Verónica;García;Clara_Abreu88@hotmail.com;Salchichas;2022-09-19T01:17:06;20101;24588
4;Rafael;Carmona;Mercedes.Cadena@hotmail.com;payment;2022-09-19T02:10:51;29718;81139
5;Mateo;Perea;Alberto71@gmail.com;turn-key Algodón synergize;2022-09-18T16:58:06;84121;42798
6;Caridad;Ulibarri;Roco_Irizarry42@gmail.com;Pescado;2022-09-18T09:45:46;56285;80423
7;Mónica;Abeyta;Elena73@yahoo.com;Berkshire;2022-09-19T04:49:46;81591;82059
8;Sofía;Regalado;Carla.Delao26@yahoo.com;microchip;2022-09-18T21:55:51;36111;76249
9;María Elena;Cerda;Teresa.Alejandro74@gmail.com;Intercambiable solid;2022-09-19T05:04:42;99851;32007
10;Adriana;Rosas;Sofa_Granados@hotmail.com;Rambla;2022-09-19T00:16:11;65328;19982
